,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1TD,1Q21,2Q21,3Q21,4Q/21,1QTD,2016,2017,2018,2019,2020,2021,2022TD
tezos,0.4488010705760934,0.2760174064200831,0.23897265901871356,0.14837646044579578,-0.3726467489041909,-0.09484713062973449,-0.003137889425229079,0.816028837153266,0.04713862102810973,0.11838733685429981,-0.10903065813209345,-0.2253842740329456,4.348243286886605,1.2904830362435744,-0.34789374326355316,0.8956668152771821,-0.22813506657070548,4.348243286886605,,,,1.688536369079709,0.5050018753231282,1.1854897064714467,4.348243286886605
helium,0.849872925617124,0.6747856356997137,1.5592612770959766,0.6475131148764679,-0.05421111029569148,-0.18624106647475136,0.12159634947475251,0.44679174456129167,-0.17919324962508765,0.7992146634419635,0.3221131992211159,-0.07022545694409776,37.51749451528064,6.928951278031179,0.2679988444650767,0.33193652511811167,1.2117155637448245,37.51749451528064,,,,,,28.617432652656813,37.51749451528064
hymnode,-0.28015946226498445,1.9072238710040734,3.218939187484903,-0.3702104288441256,-0.35435382434517193,0.6748150424582458,-0.20568044438331812,-0.5528832475811114,-0.3270052172961435,0.22911641956245465,1.3149618670455552,-0.04506498282208837,0.025955910141215944,7.829132647063718,-0.31898465062192993,-0.7609834935407358,1.7171316482121575,0.025955910141215944,,,,,0.3661235292003182,2.904932377517835,0.025955910141215944
fantom,6.923583411915257,2.571553068831679,-0.08845813356048227,0.36698626656299593,-0.4969418830364052,-0.19812992716401112,0.0677776015758742,2.1217905168594076,0.5148156857209443,1.2160889458891155,-0.18441308620112962,-0.02239254210150976,2.107973693843005,24.79617781960755,-0.4485751706602854,4.049453266771208,0.7669405691578288,2.107973693843005,,,,0.7167640101025041,0.46309283234279497,125.91354607611063,2.107973693843005
fitmin,,,,,,,-0.25694084976796194,-0.33850861738660953,-0.2759472250164443,0.3011543371745067,0.05983076561606615,-0.20420782041972718,1.43630032795689e-10,,,-0.644108349011824,0.0974001192276055,1.43630032795689e-10,,,,,,,1.43630032795689e-10
monero,-0.12954446509208817,0.5191583422227708,0.15505334990693487,0.6716742683718693,-0.35958030466344937,-0.16556673127943866,0.11422894986266519,0.1634038737378194,-0.17090589621423302,0.12185486705584592,-0.10199405008307161,-0.04481518011173424,225.18292671888534,0.5273961022062776,-0.10667816735725966,0.07475325779467012,-0.03771591645721761,225.18292671888534,28.753238968271226,24.53270207500248,-0.8638548433490152,-0.04357893655235889,2.4665365002002098,0.4111451872025209,225.18292671888534
binance-peg-eos,,,,,,-0.30398515355723943,-0.0272885023095758,0.19953941472041636,-0.23602074557690533,0.1914991749717263,-0.09408917260748673,-0.25074959457626833,3.023380363575625,,,-0.10858458965667284,-0.19126510381434303,3.023380363575625,,,,,,,3.023380363575625
eos,0.11658949362060222,0.2738907410950826,0.1684458532473989,0.3558839320050735,0.026045443962605885,-0.3147735617695546,-0.015526107189560268,0.18900075014654694,-0.2241820631595718,0.19135279948657424,-0.10357333052734485,-0.23271916465601072,3.076280672595905,0.6620125919349309,-0.046713985747949716,-0.09187391933486899,-0.18057443513187477,3.076280672595905,,,-0.7063376815226858,-0.004992313472841792,-0.0046407396306078486,0.17899832727720377,3.076280672595905
gala,0.8326886330625283,9.892123579387995,-0.19667621490887888,-0.27869984753213406,-0.4264398407085864,-0.22064325458986256,1.5502635979797565,0.23155060233214164,2.116521977253469,0.26289990530682794,5.205491671708071,-0.2895336302274396,0.46188341163079566,15.03584582855154,-0.6775730765624537,8.788305751360069,4.56786443984717,0.46188341163079566,,,,,,280.78596041872987,0.46188341163079566
cake,,,,,,,,,,,,,8.26280208613555,,,,,8.26280208613555,,,,,,,8.26280208613555
pancakeswap-token,1.6954516481705095,5.6581418096065335,0.7564690045510107,1.2426722622856627,-0.6262349044953576,-0.12462392226737395,0.09169912252517665,0.5405020504846962,-0.20795510740815748,-0.028679884658529664,-0.18715934871834772,-0.17647058129710547,12.033249675302548,30.522821079840433,-0.2662312236182919,0.33203317029370627,-0.34980007380446576,12.033249675302548,,,,,,19.03301241460434,12.033249675302548
golden-ratio-token,0.07493834685917733,0.008502109802115854,0.22775981216256813,0.24721369656757597,-0.8723559221203042,1.9077050788660705,-0.09163170092558204,0.12996543161226048,-0.05450229542539475,,,,,0.33098689914550383,-0.537094973312126,-0.02951772930837493,,,,,,,,,
the-graph,0.6958384403655979,1.6694762869281554,0.039856993991192136,-0.15217090158991575,-0.50698211982996,-0.2154831859147226,0.03192123145531012,0.427757252137442,-0.2548834047280879,0.44743722261238594,0.0495826700062143,-0.33163372551664083,0.6449953536187095,3.70743313486407,-0.6720759689474232,0.0978048849387636,0.015385402585859076,0.6449953536187095,,,,,,0.720732963636133,0.6449953536187095
harmony,1.209752733420106,1.8463925113594128,6.367603006675097,-0.30021175279604007,-0.304853374561074,-0.2885332067319072,0.16106875930394837,0.48653907850034606,0.27201677387256407,1.1265865408560716,-0.1274887719012301,-0.14783730242720095,0.22866303295721294,45.34092350525359,-0.6539031090558707,1.1954679855210526,0.5811628610950106,0.22866303295721294,,,,,-0.11371871205310635,54.67575253541647,0.22866303295721294
menlo-one,-0.17794238956484654,0.5093546634606616,1.3674481915607082,0.3355397661935471,-0.12983764981128998,12.214976756330058,-0.9536405624801202,0.15504526912568672,-0.22388015255027915,,,-0.273670579308241,0.002537562163949427,1.9374740525131862,14.357605800733644,-0.9584409172851174,0.22296313670383539,0.002537562163949427,,,,-0.006740737177747147,1.0967508902002328,1.292856498928184,0.002537562163949427
one,-0.2481717178268773,1.505196844156182,0.2889540989276078,-0.3600080161516257,-0.18395372611353,-0.38116054904089725,0.02547644661505455,0.11002740003888722,-0.15803946597335972,0.45331457729928193,0.06606497309749138,-0.2848950767274394,0.0016864687386210077,1.4277164819107138,-0.6768030061925822,-0.04159046926097143,0.10793191305123839,0.0016864687386210077,,,,2.138991166960451,-0.3597323740178474,-0.16683795896201403,0.0016864687386210077
one-hundred-coin-2,-0.40393841891305116,-0.42343933134829304,-0.15097352936528785,0.3618145203745655,-0.43363937042269707,0.19800634216016988,0.352476280978556,-0.01412967146908406,-0.2855988523708277,-0.40146662048783066,,,,-0.7082187544287788,-0.0760039097366011,-0.047441631178386734,,,,,,,,,
loopring,1.7455935680062984,0.1039909241378747,0.007915461252070655,-0.03291643316860138,-0.3676762134948225,-0.1692345715246535,-0.1092390526607444,1.1549559709166526,-0.3354226498600458,0.5465057000541178,4.218636494632915,-0.3045232739902489,1.9946725053524856,2.0551030172174816,-0.4919786803148052,0.27568986591339506,4.612949993682935,1.9946725053524856,,,-0.9152738423262627,-0.44919122834084313,6.947274125381753,10.113326558074998,1.9946725053524856
bittorrent-2,0.28519192614408295,2.3928212960014537,2.6179171066196627,0.5215209900016653,-0.4757919824559651,-0.24232880890824338,0.026839479885577333,0.40330078659259394,-0.244448897778343,0.2663912351016524,-0.16378000721005048,-0.12707746824844013,0.002813295488009622,14.775661758455932,-0.3956863814686846,0.08872242943980857,-0.0755910399938231,0.002813295488009622,,,,,-0.006197609123544723,8.594697435744688,0.002813295488009622
flow,,1.2970716767765338,0.5858798362403983,-0.07096771188321427,-0.5557692160450303,-0.3086087419022402,1.5161996898218661,0.05635709713191317,-0.39458536758432006,-0.01776221750467033,-0.13710051275335233,-0.31186261001550697,8.810387461144245,,-0.714659549434145,0.6091953622873425,-0.41675368656805245,8.810387461144245,,,,,,,8.810387461144245
aave,2.841272747314839,0.08067093087530841,0.11540780928965466,0.16301971654843994,-0.2593045214969907,-0.2641452205075596,0.3451656013470452,0.11677382438776229,-0.26216809114519124,0.19966440363086013,-0.215019875949353,0.05849018749066248,264.02129333321915,3.6302271303441556,-0.36610272339782435,0.1084048367861612,-0.003206334509179287,264.02129333321915,,,,,,2.242835083954607,264.02129333321915
maker,1.7357126724633152,0.2673396977791611,0.04561839295835113,1.0425316661247064,-0.22468084188899717,-0.2695781501213447,0.20565297480493316,0.15377113011243027,-0.3355440274429212,0.065317005826383,0.2972080252039162,-0.22294030298312262,2399.0226629452072,2.625239764919915,0.15670621755522074,-0.07571011721560583,0.07384814434277631,2399.0226629452072,,,-0.5375240200248587,-0.05432350184596868,0.3057079224350454,3.162084329853733,2399.0226629452072
kusama,0.6209710125479302,1.2911129684396547,1.346008087467081,-0.28915064855205563,-0.1938959823312808,-0.31303149954046805,-0.08560973247677706,0.5352058434976421,0.07916984547914985,0.14803389227342034,-0.010965307877109587,-0.2348015931671521,280.6307933960774,7.712669839162388,-0.6063543278444998,0.5149141124372776,-0.13115902928345824,280.6307933960774,,,,,51.39219553126347,3.514244125900544,280.6307933960774
enjincoin,1.5685583913216599,0.7139101982675913,3.3330450203812934,0.06019302102753121,-0.41501978874795187,-0.29119338866712297,0.31897661373186637,0.4570559029379291,-0.4163157786505739,1.501226196713957,0.19843136045747833,-0.28009745484557236,2.6411969268312334,18.075270593617823,-0.5604038544694157,0.12173756338456321,1.157942372323621,2.6411969268312334,,,-0.7861888646943982,1.0605390113848094,0.5851903876805413,19.29811408491325,2.6411969268312334
arweave,1.048990175024914,1.218095647736531,1.5305680939494897,0.04368255769857465,-0.5165798498451437,-0.23747941268600625,0.04743316340725845,3.8414482962244074,-0.25689131070680526,0.2077334520052485,0.2453531943768421,-0.049767358312757914,58.11455082041943,10.501068064681059,-0.6152800141327343,2.7683736473282665,0.4292018826159809,58.11455082041943,,,,,1.9388423042161076,22.830352112465608,58.11455082041943
mirror-protocol,2.068159505682817,0.08333148399530121,0.6795405737506055,0.14982803282776058,-0.506745008074647,-0.12037188879151084,-0.28282095727254275,0.3528436509673616,-0.3051227227517871,0.16897360096440783,-0.17430295800931017,-0.11326674557574978,2.3797315075239847,4.5825137114231556,-0.5011115128560698,-0.3258084448125683,-0.1441090621878941,2.3797315075239847,,,,,,0.6070708240769218,2.3797315075239847
curve-dao-token,3.3185691190925093,-0.2074624964748557,0.6515111077888907,-0.08086178752503281,-0.4460712016636539,0.06935219036958862,-0.047338411204473685,0.2388679885556968,0.08242727498492841,1.0663434303352366,-0.006483347812944795,0.09157150885970333,5.123163301306018,4.652508140748308,-0.4555530996039605,0.2775044251951013,1.2409380256028384,5.123163301306018,,,,,,7.810265280188688,5.123163301306018
